id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	32	9.469137030	0.295910532	1	18	32	32	0.047036549	-0.046048781	640	634	0.990625000	32	31	0.968750000	634	588	0.927444795	634	0.487732455	0.107589753	5966	5548	0.929936306
case_001	18	32	10.414684432	0.325458888	1	4	32	32	0.048340008	-0.023531843	640	637	0.995312500	32	30	0.937500000	637	600	0.941915228	637	0.398242046	0.028648100	6023	5581	0.926614644
case_002	19	32	10.942423961	0.341950749	1	3	32	32	0.091445785	-0.012877352	640	639	0.998437500	32	27	0.843750000	639	600	0.938967136	639	0.472454479	0.082487642	6061	5638	0.930209536
case_003	19	32	6.009558542	0.187798704	1	1	32	32	0.060901274	-0.034728024	640	634	0.990625000	32	31	0.968750000	634	576	0.908517350	634	0.474095502	0.072717816	5966	5480	0.918538384
case_004	15	32	24.032292860	0.751009152	1	16	32	32	0.080670584	-0.028122196	640	637	0.995312500	32	30	0.937500000	637	581	0.912087912	637	0.575616911	0.215287741	6023	5561	0.923294040
case_005	14	32	3.876512947	0.121141030	1	28	32	32	0.020991907	0.002056334	640	632	0.987500000	32	32	1.000000000	632	582	0.920886076	632	0.522784560	-0.219431049	5928	5506	0.928812416
case_006	18	32	12.566361195	0.392698787	1	7	32	32	0.085563680	-0.017776521	640	635	0.992187500	32	32	1.000000000	635	593	0.933858268	635	0.528633389	-0.162058421	5985	5489	0.917126149
case_007	14	32	11.736840893	0.366776278	1	10	32	32	0.064078433	-0.033250774	640	637	0.995312500	32	32	1.000000000	637	590	0.926216641	637	0.815367815	0.670963646	6023	5531	0.918313133
case_008	20	32	9.908106181	0.309628318	0	0	32	32	0.057825136	-0.027723260	640	638	0.996875000	32	31	0.968750000	638	586	0.918495298	638	0.512800838	-0.145150464	6042	5574	0.922542205
case_009	17	32	15.938615261	0.498081727	0	0	32	32	0.155371589	-0.104324971	640	640	1.000000000	32	31	0.968750000	640	589	0.920312500	640	0.603875882	-0.273577972	6080	5545	0.912006579
