id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	17	32	14.729461908	0.460295685	1	21	32	32	0.307724057	-0.210433933	640	634	0.990625000	32	28	0.875000000	634	522	0.823343849	634	1.363135685	0.355679955	5966	4981	0.834897754
case_001	18	32	13.845123645	0.432660114	1	4	32	32	0.211294934	-0.130733068	640	637	0.995312500	32	30	0.937500000	637	537	0.843014129	637	1.235277516	0.128770073	6023	5160	0.856715922
case_002	19	32	18.100426829	0.565638338	1	3	32	32	0.283139559	-0.236564941	640	639	0.998437500	32	28	0.875000000	639	543	0.849765258	639	1.270167116	0.871287784	6061	5238	0.864213826
case_003	19	32	11.014940090	0.344216878	1	1	32	32	0.210070396	-0.191146198	640	634	0.990625000	32	30	0.937500000	634	506	0.798107256	634	1.279222775	0.579433679	5966	4994	0.837076768
case_004	15	32	24.013016948	0.750406780	1	16	32	32	0.182052398	-0.027519824	640	637	0.995312500	32	27	0.843750000	637	521	0.817896389	637	1.479721687	1.167282215	6023	5176	0.859372406
case_005	14	32	6.157459035	0.192420595	1	28	32	32	0.087876965	-0.069223231	640	632	0.987500000	32	32	1.000000000	632	511	0.808544304	632	1.727887896	1.519479356	5928	5084	0.857624831
case_006	18	32	17.806000934	0.556437529	1	7	32	32	0.232443539	-0.181515263	640	635	0.992187500	32	29	0.906250000	635	532	0.837795276	635	1.024337673	0.124317708	5985	5123	0.855973266
case_007	14	32	17.387503360	0.543359480	1	10	32	32	0.288024307	-0.209833976	640	637	0.995312500	32	31	0.968750000	637	524	0.822605965	637	1.424184347	0.280892304	6023	5132	0.852067076
case_008	20	32	10.736196568	0.335506143	0	0	32	32	0.079199226	-0.053601085	640	638	0.996875000	32	32	1.000000000	638	537	0.841692790	638	1.164896756	0.672716865	6042	5186	0.858325058
case_009	17	32	17.685861126	0.552683160	0	0	32	32	0.295633049	-0.158926405	640	640	1.000000000	32	26	0.812500000	640	501	0.782812500	640	1.347822665	0.808095709	6080	5081	0.835690789
case_010	26	32	11.782288971	0.368196530	1	7	32	32	0.385650661	-0.188363718	640	634	0.990625000	32	27	0.843750000	634	514	0.810725552	634	1.616936209	0.419580380	5966	5012	0.840093865
case_011	21	32	19.617039200	0.613032475	1	1	32	32	0.314902241	-0.287561553	640	639	0.998437500	32	29	0.906250000	639	539	0.843505477	639	1.436540895	0.823644905	6061	5100	0.841445306
case_012	22	32	4.406348561	0.137698393	1	23	32	32	0.094868401	-0.091221594	640	637	0.995312500	32	30	0.937500000	637	498	0.781789639	637	1.804000047	1.057926157	6023	4874	0.809231280
case_013	22	32	3.026587784	0.094580868	1	17	32	32	0.099026193	0.028142727	640	636	0.993750000	32	31	0.968750000	636	522	0.820754717	636	1.698084015	0.544593972	6004	4955	0.825283145
case_014	21	32	10.177925662	0.318060177	1	4	32	32	0.274509300	-0.271432571	640	638	0.996875000	32	29	0.906250000	638	522	0.818181818	638	2.083366509	1.711744480	6042	5009	0.829030122
case_015	22	32	16.147747241	0.504617101	0	0	32	32	0.374796804	-0.360415838	640	636	0.993750000	32	27	0.843750000	636	525	0.825471698	636	1.586496771	0.646429500	6004	5093	0.848267821
